Code,Link,Date Of Issue,Department,Title,Meant For,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
F. No.4 (3)-W & M / 2016 ( iii ),https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-7.06-per-cent-government-stock-2046-10913,"Apr 10, 2017",Internal Debt Management Department,"Auction for Sale (Re-issue) of ‘7.06 per cent Government Stock, 2046’",,Auction_for_Sale_Re_issue_of_706_per_cent_Governme_20250108061540.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_706_per_cent_Governme_20250108061540.pdf,2025-01-08T06:15:45.628198,,
RBI/2016-2017/272 Ref. No. IDMD/2635/08.02.032/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-10917,"Apr 10, 2017",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks/All Financial Institutions/All Primary Dealers,Auction_of_Government_of_India_Dated_Securities_20250108061545.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108061545.pdf,2025-01-08T06:15:50.362487,,
F. No.4 (7) W & M/2017 (i),https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-6.97-per-cent-government-stock-2026-10915,"Apr 10, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 6.97 per cent Government Stock 2026,,Auction_for_Sale_Re_issue_of_697_per_cent_Governme_20250108061550.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_697_per_cent_Governme_20250108061550.pdf,2025-01-08T06:15:55.524598,,
F.No.4(3)W & M/2016 (ii),https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-7.73-per-cent-government-stock-2034-10914,"Apr 10, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 7.73 per cent Government Stock 2034,,Auction_for_Sale_Re_issue_of_773_per_cent_Governme_20250108061555.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_773_per_cent_Governme_20250108061555.pdf,2025-01-08T06:16:00.281738,,
F.No.4(7) W & M/2017,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-6.84-per-cent-government-stock-2022-10916,"Apr 10, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 6.84 per cent Government Stock 2022,,Auction_for_Sale_Re_issue_of_684_per_cent_Governme_20250108061600.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_684_per_cent_Governme_20250108061600.pdf,2025-01-08T06:16:05.234429,,
RBI/2016-2017/271 DGBA.GAD.No.2646/31.02.007/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/systems-and-controls-for-conduct-of-government-banking-10912,"Apr 07, 2017",Department of Government and Bank Accounts,Systems and Controls for Conduct of Government Banking,All Agency Banks,Systems_and_Controls_for_Conduct_of_Government_Ban_20250108061605.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Systems_and_Controls_for_Conduct_of_Government_Ban_20250108061605.pdf,2025-01-08T06:16:10.984047,,
RBI/2016-2017/270 DBR.No.Ret.BC.58/12.01.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/change-in-bank-rate-10911,"Apr 06, 2017",Department of Banking Regulation,Change in Bank Rate,The Chairperson / CEOs of all Scheduled and Non Scheduled Banks,Change_in_Bank_Rate_20250108061610.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Change_in_Bank_Rate_20250108061610.pdf,2025-01-08T06:16:16.003721,,
RBI/2016-2017/267 DGBA.GAD.2618/15.02.005/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/interest-rates-for-small-savings-schemes-10908,"Apr 06, 2017",Department of Government and Bank Accounts,Interest rates for Small Savings Schemes,"The Chairman/Chief Executive Officer Agency Banks handling Public Provident Fund, Kisan Vikas Patra- 2014, Sukanya Samriddhi Account, Senior Citizen Savings Scheme-2004",Interest_rates_for_Small_Savings_Schemes_20250108061616.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Interest_rates_for_Small_Savings_Schemes_20250108061616.pdf,2025-01-08T06:16:21.001405,,
RBI/2016-2017/268 FMOD.MAOG. No. 118 /01.01.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/liquidity-adjustment-facility-repo-and-reverse-repo-rates-10909,"Apr 06, 2017",Financial Markets Operation Department,Liquidity Adjustment Facility - Repo and Reverse Repo Rates,"All Scheduled Commercial Banks (excluding RRBs), Scheduled Urban Co-operative Banks and Standalone Primary Dealers",Liquidity_Adjustment_Facility___Repo_and_Reverse_R_20250108061625.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Liquidity_Adjustment_Facility___Repo_and_Reverse_R_20250108061625.pdf,2025-01-08T06:16:30.031918,,
RBI/2016-2017/269 FMOD.MAOG.No.119/01.18.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/marginal-standing-facility-10910,"Apr 06, 2017",Financial Markets Operation Department,Marginal Standing Facility,All Scheduled Commercial Banks (excluding RRBs),Marginal_Standing_Facility_20250108061630.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Marginal_Standing_Facility_20250108061630.pdf,2025-01-08T06:16:35.033090,,
RBI/2016-2017/266 Ref. No. IDMD/2580/08.02.032/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-10907,"Apr 03, 2017",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers.,Auction_of_Government_of_India_Dated_Securities_20250108061635.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108061635.pdf,2025-01-08T06:16:40.023385,,
F. No. 4 (3) W&M/2017:,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-government-of-india-floating-rate-bonds-2024-10906,"Apr 03, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of Government of India Floating Rate Bonds 2024,,Auction_for_Sale_Re_issue_of_Government_of_India_F_20250108061640.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_Government_of_India_F_20250108061640.pdf,2025-01-08T06:16:45.103707,,
F. No.4 (3) W&M/2017(i) :,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-6.79-per-cent-government-stock-2029-10905,"Apr 03, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 6.79 per cent Government Stock 2029,,Auction_for_Sale_Re_issue_of_679_per_cent_Governme_20250108061645.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_679_per_cent_Governme_20250108061645.pdf,2025-01-08T06:16:49.929223,,
F. No.4 (3) W&M/2017(ii):,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-6.57-per-cent-government-stock-2033-10904,"Apr 03, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 6.57 per cent Government Stock 2033,,Auction_for_Sale_Re_issue_of_657_per_cent_Governme_20250108061649.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_657_per_cent_Governme_20250108061649.pdf,2025-01-08T06:16:54.942568,,
F. No.4 (2) W&M/2017(iii):,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-6.62-per-cent-government-stock-2051-10903,"Apr 03, 2017",Internal Debt Management Department,Auction for Sale (Re-issue) of 6.62 per cent Government Stock 2051,,Auction_for_Sale_Re_issue_of_662_per_cent_Governme_20250108061654.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Re_issue_of_662_per_cent_Governme_20250108061654.pdf,2025-01-08T06:16:59.721341,,
RBI/2016-2017/265 A.P.(DIR Series) Circular No. 43,https://website.rbi.org.in/web/rbi/-/notifications/investment-by-foreign-portfolio-investors-in-government-securities-10902,"Mar 31, 2017",Financial Markets Regulation Department,Investment by Foreign Portfolio Investors in Government Securities,All Authorised Persons,Investment_by_Foreign_Portfolio_Investors_in_Gover_20250108061659.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Investment_by_Foreign_Portfolio_Investors_in_Gover_20250108061659.pdf,2025-01-08T06:17:04.603784,,
RBI/2016-2017/264 DPSS.CO.PD No.2737/02.14.003/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/rationalisation-of-merchant-discount-rate-mdr-for-debit-card-transactions-continuance-of-special-measures-10901,"Mar 30, 2017",Department of Payment and Settlement Systems,Rationalisation of Merchant Discount Rate (MDR) for Debit Card Transactions - Continuance of Special Measures,The Chairman and Managing Directors / Chief Executive Officers All Scheduled Commercial Banks including RRBs / Urban Co-operative Banks / State Co-operative Banks / District Central Co-operative Banks / Payments Banks and Small Finance Banks / All Card Network Providers,Rationalisation_of_Merchant_Discount_Rate_MDR_for__20250108061704.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Rationalisation_of_Merchant_Discount_Rate_MDR_for__20250108061704.pdf,2025-01-08T06:17:09.771123,,
RBI/2016-2017/261 FIDD.CO.LBS.BC.No.25/02.01.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/assignment-of-slbc-convenorship-telangana-10898,"Mar 30, 2017",Financial Inclusion and Development Department,Assignment of SLBC Convenorship - Telangana,The Chairmen and Managing Directors SLBC Convenor Banks,Assignment_of_SLBC_Convenorship___Telangana_20250108061709.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Assignment_of_SLBC_Convenorship___Telangana_20250108061709.pdf,2025-01-08T06:17:16.515758,,
RBI/2016-2017/262 FIDD.CO.LBS.BC.No.26/02.01.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/assignment-of-lead-bank-responsibility-10899,"Mar 30, 2017",Financial Inclusion and Development Department,Assignment of Lead Bank Responsibility,The Chairmen and Managing Directors SLBC Convenor Banks,Assignment_of_Lead_Bank_Responsibility_20250108061720.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Assignment_of_Lead_Bank_Responsibility_20250108061720.pdf,2025-01-08T06:17:24.947111,,
RBI/2016-2017/263 A.P. (DIR Series) Circular No. 42,https://website.rbi.org.in/web/rbi/-/notifications/purchase-of-foreign-exchange-from-foreign-citizens-and-others-10900,"Mar 30, 2017",Foreign Exchange Department,Purchase of foreign exchange from foreign citizens and others,All Authorised Persons,Purchase_of_foreign_exchange_from_foreign_citizens_20250108061724.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Purchase_of_foreign_exchange_from_foreign_citizens_20250108061724.pdf,2025-01-08T06:17:29.739101,,
RBI/2016-2017/260 DPSS.CO.CHD.No./2720/03.01.03/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/all-payment-systems-to-remain-closed-on-april-1-2017-10897,"Mar 29, 2017",Department of Payment and Settlement Systems,"All payment systems to remain closed on April 1, 2017",The Chairman and Managing Director / Chief Executive Officer All Scheduled Commercial Banks including Regional Rural Banks/ Urban Co-operative Banks / State Co-operative Banks / District Central Co-operative Banks/Local Area Banks,All_payment_systems_to_remain_closed_on_April_1_20_20250108061729.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/All_payment_systems_to_remain_closed_on_April_1_20_20250108061729.pdf,2025-01-08T06:17:34.688593,,
RBI/2016-2017/259 DBR.No.Leg.BC.56/09.07.005/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/opening-of-all-agency-banks-for-government-business-on-april-1-2017-revised-instructions-10896,"Mar 29, 2017",Department of Banking Regulation,"Opening of all Agency Banks for government business on April 1, 2017 - Revised instructions",All Agency Banks,Opening_of_all_Agency_Banks_for_government_busines_20250108061734.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Opening_of_all_Agency_Banks_for_government_busines_20250108061734.pdf,2025-01-08T06:17:39.661708,,
RBI/2016-2017/258 FIDD.CO.LBS.BC.No.24/02.08.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/formation-of-seven-new-districts-in-the-state-of-manipur-assignment-of-lead-bank-responsibility-10895,"Mar 27, 2017",Financial Inclusion and Development Department,Formation of seven new districts in the State of Manipur - Assignment of Lead Bank Responsibility,The Chairmen & Managing Directors All Lead Banks,Formation_of_seven_new_districts_in_the_State_of_M_20250108061739.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Formation_of_seven_new_districts_in_the_State_of_M_20250108061739.pdf,2025-01-08T06:17:45.947409,,
RBI/2016-2017/257 DPSS.CO.CHD.No./2695/03.01.03/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/payment-systems-to-remain-open-on-all-days-from-march-25-2017-to-april-1-2017-10894,"Mar 25, 2017",Department of Payment and Settlement Systems,"Payment systems to remain open on all days from March 25, 2017 to April 1, 2017",The Chairman and Managing Director / Chief Executive Officer All Scheduled Commercial Banks including Regional Rural Banks/ Urban Co-operative Banks / State Co-operative Banks / District Central Co-operative Banks/Local Area Banks,Payment_systems_to_remain_open_on_all_days_from_Ma_20250108061745.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Payment_systems_to_remain_open_on_all_days_from_Ma_20250108061745.pdf,2025-01-08T06:17:51.055544,,
RBI/2016-2017/256 DBR.No.Leg.BC.55/09.07.005/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/all-agency-banks-to-remain-open-for-public-on-all-days-from-march-25-2017-to-april-1-2017-10893,"Mar 24, 2017",Department of Banking Regulation,"All Agency Banks to remain open for public on all days from March 25, 2017 to April 1, 2017",All Agency Banks,All_Agency_Banks_to_remain_open_for_public_on_all__20250108061751.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/All_Agency_Banks_to_remain_open_for_public_on_all__20250108061751.pdf,2025-01-08T06:17:55.972379,,
RBI/2016-2017/255 DPSS.CO.CHD.No./2656/03.01.03/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/special-clearing-operations-on-march-30-and-31-2017-10892,"Mar 23, 2017",Department of Payment and Settlement Systems,"Special Clearing operations on March 30 and 31, 2017",The Chairman and Managing Director / Chief Executive Officer All Scheduled Commercial Banks including Regional Rural Banks/ Urban Co-operative Banks / State Co-operative Banks / District Central Co-operative Banks/Local Area Banks,Special_Clearing_operations_on_March_30_and_31_201_20250108061755.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Special_Clearing_operations_on_March_30_and_31_201_20250108061755.pdf,2025-01-08T06:18:01.022080,,
RBI/2016-2017/254 A.P. (DIR Series) Circular No. 41,https://website.rbi.org.in/web/rbi/-/notifications/risk-management-and-inter-bank-dealings-operational-flexibility-for-indian-subsidiaries-of-non-resident-companies-10891,"Mar 21, 2017",Financial Markets Regulation Department,Risk Management and Inter-bank Dealings: Operational flexibility for Indian subsidiaries of Non-resident Companies,All Authorised Dealer Category - I Banks,Risk_Management_and_Inter_bank_Dealings_Operationa_20250108061801.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Risk_Management_and_Inter_bank_Dealings_Operationa_20250108061801.pdf,2025-01-08T06:18:06.102365,,
RBI/2016-2017/251 IDMD.CDD.No.2347/14.04.051/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/pradhan-mantri-garib-kalyan-deposit-scheme-pmgkds-2016-clarification-10887,"Mar 16, 2017",Internal Debt Management Department,"Pradhan Mantri Garib Kalyan Deposit Scheme (PMGKDS), 2016 - Clarification","The Chairman/CEO/ Managing Director, All Authorised Banks, (All Banks to which Banking Regulation Act, 1949 applies)",Pradhan_Mantri_Garib_Kalyan_Deposit_Scheme_PMGKDS__20250108061806.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Pradhan_Mantri_Garib_Kalyan_Deposit_Scheme_PMGKDS__20250108061806.pdf,2025-01-08T06:18:10.950404,,
RBI/2016-2017/249 DGBA.GAD.No.2376/42.01.029/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/reporting-and-accounting-of-central-government-transactions-of-march-2017-10885,"Mar 16, 2017",Department of Government and Bank Accounts,Reporting and Accounting of Central Government Transactions of March 2017,All Agency Banks,Reporting_and_Accounting_of_Central_Government_Tra_20250108061814.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Reporting_and_Accounting_of_Central_Government_Tra_20250108061814.pdf,2025-01-08T06:18:19.683360,,
RBI/2016-2017/250 DGBA.GAD.No.2377/42.01.029/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/annual-closing-of-government-accounts-transactions-of-central-state-governments-special-measures-for-the-current-financial-year-2016-17-10886,"Mar 16, 2017",Department of Government and Bank Accounts,Annual Closing of Government Accounts - Transactions of Central / State Governments - Special Measures for the Current Financial Year (2016-17),All agency banks,Annual_Closing_of_Government_Accounts___Transactio_20250108061819.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Annual_Closing_of_Government_Accounts___Transactio_20250108061819.pdf,2025-01-08T06:18:24.351191,,
RBI/2016-2017/252 A.P. (DIR Series) Circular No. 39,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-10-million-to-the-government-of-co-operative-republic-of-guyana-10888,"Mar 16, 2017",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 10 million to the Government of Co-operative Republic of Guyana,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108061824.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108061824.pdf,2025-01-08T06:18:29.053447,,
RBI/2016-2017/253 A.P. (DIR Series) Circular No. 40,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-50-million-to-the-government-of-co-operative-republic-of-guyana-10889,"Mar 16, 2017",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 50 million to the Government of Co-operative Republic of Guyana,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108061829.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108061829.pdf,2025-01-08T06:18:33.765658,,
RBI/2016-2017/248 FIDD.CO.LBS.BC.No.23/02.08.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/formation-of-seven-new-districts-in-the-state-of-manipur-assignment-of-lead-bank-responsibility-10883,"Mar 09, 2017",Financial Inclusion and Development Department,Formation of seven new districts in the State of Manipur - Assignment of Lead Bank Responsibility,The Chairmen & Managing Directors All Lead Banks,Formation_of_seven_new_districts_in_the_State_of_M_20250108061833.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Formation_of_seven_new_districts_in_the_State_of_M_20250108061833.pdf,2025-01-08T06:18:38.934622,,
RBI/2016-2017/247 A.P. (DIR Series) Circular No. 38,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-92.18-million-to-the-government-of-tanzania-10882,"Mar 09, 2017",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 92.18 million to the Government of Tanzania,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108061838.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108061838.pdf,2025-01-08T06:18:43.833524,,
RBI/2016-2017/246 A.P. (DIR Series) Circular No. 37,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-750-million-to-the-government-of-nepal-10881,"Mar 09, 2017",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 750 million to the Government of Nepal,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108061843.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108061843.pdf,2025-01-08T06:18:48.986657,,
RBI/2016-2017/244 DBR.No.Ret.BC.54/12.07.150/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/inclusion-of-the-royal-bank-of-scotland-plc-in-the-second-schedule-to-the-reserve-bank-of-india-act-1934-10879,"Mar 09, 2017",Department of Banking Regulation,"Inclusion of “The Royal Bank of Scotland plc” in the Second Schedule to the Reserve Bank of India Act, 1934",All Scheduled Commercial Banks,Inclusion_of_The_Royal_Bank_of_Scotland_plc_in_the_20250108061848.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Inclusion_of_The_Royal_Bank_of_Scotland_plc_in_the_20250108061848.pdf,2025-01-08T06:18:54.197482,,
RBI/2016-2017/245 DNBR (PD) CC.No.086/03.10.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/disbursal-of-loan-amount-in-cash-10880,"Mar 09, 2017",Department of Non Banking Regulation,Disbursal of loan amount in cash,All NBFCs,Disbursal_of_loan_amount_in_cash_20250108061854.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Disbursal_of_loan_amount_in_cash_20250108061854.pdf,2025-01-08T06:18:59.185894,,
FEMA.387/2017-RB FEMA.387/2017-RB,https://website.rbi.org.in/web/rbi/-/notifications/foreign-exchange-management-transfer-or-issue-of-security-by-a-person-resident-outside-india-fourth-amendment-regulations-2017-10884,"Mar 09, 2017",Foreign Exchange Department,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Fourth Amendment) Regulations, 2017",,Foreign_Exchange_Management_Transfer_or_Issue_of_S_20250108061859.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Foreign_Exchange_Management_Transfer_or_Issue_of_S_20250108061859.pdf,2025-01-08T06:19:04.078540,,
RBI/2016-2017/243 DGBA.GAD.No.2294/15.04.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/gold-monetisation-scheme-10877,"Mar 06, 2017",Department of Government and Bank Accounts,Gold Monetisation Scheme,All Agency Banks,Gold_Monetisation_Scheme_20250108061908.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Gold_Monetisation_Scheme_20250108061908.pdf,2025-01-08T06:19:14.486419,,
FEMA.385/2017-RB,https://website.rbi.org.in/web/rbi/-/notifications/foreign-exchange-management-transfer-or-issue-of-security-by-a-person-resident-outside-india-second-amendment-regulations-2017-10876,"Mar 03, 2017",Foreign Exchange Department,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Second Amendment) Regulations, 2017",,Foreign_Exchange_Management_Transfer_or_Issue_of_S_20250108061914.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Foreign_Exchange_Management_Transfer_or_Issue_of_S_20250108061914.pdf,2025-01-08T06:19:19.252217,,
RBI/2016-2017/236 FIDD.FLC.BC.No.22/12.01.018/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/financial-literacy-by-flcs-financial-literacy-centres-and-rural-branches-policy-review-10869,"Mar 02, 2017",Financial Inclusion and Development Department,Financial Literacy by FLCs (Financial Literacy Centres) and rural branches - Policy Review,To Chairman/MD & CEO Scheduled Commercial Banks (Including RRBs),Financial_Literacy_by_FLCs_Financial_Literacy_Cent_20250108061919.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Financial_Literacy_by_FLCs_Financial_Literacy_Cent_20250108061919.pdf,2025-01-08T06:19:23.780221,,
RBI/2016-2017/237 A.P. (DIR Series) Circular No. 32,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-29.95-million-to-the-government-of-the-republic-of-kenya-10870,"Mar 02, 2017",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 29.95 million to the Government of the Republic of Kenya,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108061923.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108061923.pdf,2025-01-08T06:19:28.455540,,
RBI/2016-2017/238 A.P. (DIR Series) Circular No. 33,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-15-million-to-the-government-of-the-republic-of-kenya-10872,"Mar 02, 2017",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 15 million to the Government of the Republic of Kenya,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108061928.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108061928.pdf,2025-01-08T06:19:33.163073,,
RBI/2016-2017/239 A.P. (DIR Series) Circular No. 34,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-23.50-million-to-the-government-of-the-republic-of-malawi-10873,"Mar 02, 2017",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 23.50 million to the Government of the Republic of Malawi,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108061933.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108061933.pdf,2025-01-08T06:19:38.299370,,
RBI/2016-2017/240 A.P. (DIR Series) Circular No. 35,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-26-million-to-the-government-of-the-republic-of-senegal-10874,"Mar 02, 2017",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 26 million to the Government of the Republic of Senegal,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108061938.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108061938.pdf,2025-01-08T06:19:43.177104,,
RBI/2016-2017/241 A.P. (DIR Series) Circular No. 36,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-78-million-to-the-government-of-the-republic-of-sierra-leone-10875,"Mar 02, 2017",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 78 million to the Government of the Republic of Sierra Leone,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108061943.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108061943.pdf,2025-01-08T06:19:47.831615,,
RBI/2016-2017/242 DNBR.PD.CC.No.085/03.10.001/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/infrastructure-financing-definition-of-infrastructure-lending-10871,"Mar 02, 2017",Department of Non Banking Regulation,Infrastructure Financing- Definition of 'Infrastructure Lending',All Non-Banking Financial Companies,Infrastructure_Financing__Definition_of_Infrastruc_20250108061947.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Infrastructure_Financing__Definition_of_Infrastruc_20250108061947.pdf,2025-01-08T06:19:52.711858,,
RBI/FED/2016-2017/52 FED Master Direction No.1/2016-17,https://website.rbi.org.in/web/rbi/-/notifications/master-direction-money-transfer-service-scheme-mtss-10868,"Feb 23, 2017",Foreign Exchange Department,"Master Direction - Money Transfer Service Scheme (MTSS)(Updated as on February 29, 2024)",All Authorised Persons who are Indian Agents under the Money Transfer Service Scheme,Master_Direction___Money_Transfer_Service_Scheme_M_20250108061952.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Direction___Money_Transfer_Service_Scheme_M_20250108061952.pdf,2025-01-08T06:19:58.672908,,
